Sample ID	NR-AhR	NR-AR	NR-AR-LBD	NR-Aromatase	NR-ER	NR-ER-LBD	NR-PPAR-gamma	SR-ARE	SR-ATAD5	SR-HSE	SR-MMP	SR-p53
NCGC00356947-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357063-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00356982-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357219-01	0	0	0	0	x	0	0	0	0	0	x	0
NCGC00357037-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356975-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357169-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357022-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357165-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357122-01	0	x	0	1	x	1	0	x	0	0	x	0
NCGC00357212-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357263-01	1	0	0	0	0	0	0	0	0	0	x	0
NCGC00357052-01	0	x	0	1	0	1	0	0	0	1	1	0
NCGC00356952-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357225-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357105-01	x	x	0	0	0	0	0	0	0	0	0	0
NCGC00356944-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356977-01	x	x	x	x	x	x	x	x	0	x	1	0
NCGC00357053-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357202-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00357013-01	1	0	0	1	0	0	0	1	0	1	0	0
NCGC00357131-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357127-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357147-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357267-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356979-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357179-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356945-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357068-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357002-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356974-01	0	0	0	0	0	0	1	0	0	0	0	0
NCGC00357109-01	1	1	0	x	1	0	0	1	0	0	1	0
NCGC00356988-01	0	0	0	0	x	0	0	0	0	0	x	0
NCGC00357117-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357239-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356961-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00356966-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356996-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356950-01	1	x	0	0	0	0	0	0	0	0	0	0
NCGC00356969-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357050-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357258-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357186-01	0	0	0	0	x	x	0	0	0	0	0	0
NCGC00357115-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356940-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357130-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356959-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356985-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357125-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357270-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357031-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357137-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357102-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357228-01	0	0	0	0	x	x	0	0	0	0	0	0
NCGC00356965-01	1	1	0	x	1	0	0	1	1	0	x	0
NCGC00357151-01	0	1	x	0	0	0	0	1	0	0	0	0
NCGC00357280-01	0	0	0	x	x	0	0	x	0	0	x	0
NCGC00357097-01	1	0	0	0	0	0	0	0	0	0	x	0
NCGC00357272-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357229-01	0	0	0	0	1	1	0	0	0	0	0	0
NCGC00357200-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357273-01	0	0	0	0	x	0	0	0	0	0	1	0
NCGC00357088-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357101-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357287-01	0	0	0	0	0	0	x	0	x	x	0	0
NCGC00357253-01	0	0	0	0	x	0	0	0	0	x	x	0
NCGC00357177-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357152-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00357140-01	0	x	0	0	0	0	0	0	0	0	1	0
NCGC00357086-01	0	0	0	0	0	0	0	1	x	0	0	0
NCGC00357150-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357040-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357232-01	x	0	0	0	0	0	0	x	0	0	0	0
NCGC00357172-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357135-01	0	0	0	0	x	0	0	1	0	x	x	0
NCGC00357207-01	0	x	x	x	x	x	x	0	1	1	1	x
NCGC00356990-01	0	0	0	1	x	0	0	0	0	x	x	0
NCGC00357276-01	0	0	0	0	1	x	0	0	0	0	0	0
NCGC00357016-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357247-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00357183-01	x	0	0	0	0	0	0	0	0	0	x	0
NCGC00357286-01	0	0	0	x	x	0	x	1	1	1	0	0
NCGC00357255-01	0	0	0	0	x	0	0	0	0	0	0	x
NCGC00357025-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357008-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356987-01	x	0	0	0	0	0	0	0	0	0	0	0
NCGC00357128-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357129-01	x	0	0	0	0	0	0	0	0	0	0	0
NCGC00356978-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357072-01	1	0	0	0	x	0	0	0	0	0	1	0
NCGC00357195-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357215-01	0	0	0	0	x	1	0	0	0	0	0	0
NCGC00357038-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357208-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357099-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357007-01	0	x	0	x	1	0	1	1	1	1	x	1
NCGC00356989-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357246-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357081-01	1	0	0	x	x	x	0	x	0	0	0	0
NCGC00357281-01	0	0	0	0	0	x	0	0	0	x	x	0
NCGC00357244-01	0	0	0	0	x	0	0	1	0	0	0	0
NCGC00357194-01	1	0	0	x	0	0	0	1	0	0	0	0
NCGC00357193-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357006-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357041-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357074-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357166-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357070-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357222-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357245-01	0	0	0	0	1	0	0	0	0	0	0	0
NCGC00357217-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357015-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357261-01	0	x	0	x	0	0	0	0	0	x	x	0
NCGC00357060-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357104-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357248-01	x	0	0	0	x	0	0	0	0	0	0	0
NCGC00357176-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357187-01	0	0	0	0	x	x	0	0	0	0	0	0
NCGC00357066-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357154-01	x	0	0	0	x	0	0	0	0	0	x	0
NCGC00357216-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357148-01	1	0	0	0	1	x	0	1	0	0	1	0
NCGC00357078-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357027-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357134-01	x	x	0	x	0	0	0	0	0	x	1	0
NCGC00357180-01	1	0	0	0	x	0	0	x	0	x	x	0
NCGC00356986-01	x	0	0	0	0	0	0	0	0	0	x	0
NCGC00356946-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356970-01	1	0	x	1	x	x	0	1	0	x	1	1
NCGC00357191-01	0	0	0	0	0	0	0	1	0	0	x	0
NCGC00357077-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357069-01	0	0	0	0	0	0	0	0	0	x	0	0
NCGC00356958-01	1	0	0	0	0	0	0	0	0	0	1	0
NCGC00357121-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357067-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357243-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357100-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356960-01	0	0	0	0	0	0	0	0	0	x	0	0
NCGC00357136-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357158-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356942-01	x	0	0	0	0	0	0	0	0	0	1	0
NCGC00357126-01	0	0	0	0	0	0	0	0	0	0	1	0
NCGC00357110-01	1	0	0	x	x	x	0	1	1	x	x	x
NCGC00357178-01	0	0	0	1	x	x	0	x	0	0	x	x
NCGC00357167-01	0	0	0	0	0	0	0	0	0	0	1	0
NCGC00357096-01	1	x	0	0	0	0	0	1	0	0	1	0
NCGC00357230-01	1	0	0	x	x	1	0	x	1	0	x	1
NCGC00357257-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00356951-01	0	x	0	0	x	0	0	0	0	0	0	0
NCGC00357241-01	0	0	0	1	x	0	0	0	0	0	0	0
NCGC00357024-01	0	0	0	1	0	0	0	0	0	0	0	0
NCGC00357233-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357197-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357149-01	x	1	x	x	x	x	x	x	0	0	0	1
NCGC00357142-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357231-01	0	x	0	x	0	0	0	1	0	0	x	0
NCGC00357044-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357209-01	1	0	0	0	x	0	0	0	0	0	1	0
NCGC00357045-01	0	0	0	0	0	0	0	1	0	0	x	0
NCGC00357075-01	0	0	0	x	1	0	0	x	1	0	1	0
NCGC00356938-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357065-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357094-01	0	0	1	1	x	0	1	0	0	0	0	0
NCGC00357083-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357085-01	1	0	0	x	1	x	0	0	0	0	0	0
NCGC00357236-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357035-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357108-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357235-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357224-01	0	0	0	0	0	0	x	0	0	0	0	0
NCGC00357211-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357039-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357264-01	0	0	0	x	x	0	x	1	0	x	0	0
NCGC00357285-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357032-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357146-01	x	0	0	0	x	0	0	1	0	0	0	0
NCGC00357059-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00357061-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357190-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00356943-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357237-01	x	0	0	0	x	0	0	0	0	0	0	0
NCGC00357005-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357251-01	0	0	0	x	x	0	0	0	0	0	0	0
NCGC00357034-01	x	0	0	x	0	0	0	0	0	0	0	0
NCGC00356992-01	0	0	0	0	x	0	0	1	0	0	0	0
NCGC00357254-01	0	0	0	0	0	0	0	0	1	1	0	0
NCGC00357199-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356957-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00356968-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357268-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357256-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357141-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357093-01	0	0	0	x	0	0	0	0	1	1	0	0
NCGC00357087-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357223-01	1	0	0	1	x	0	0	1	0	0	0	0
NCGC00357119-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357003-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357058-01	x	0	0	0	0	0	0	0	0	0	0	0
NCGC00357275-01	1	0	x	x	x	0	0	1	1	x	x	0
NCGC00357014-01	0	0	0	0	0	0	0	x	0	0	1	0
NCGC00357011-01	1	1	0	x	1	0	0	1	1	0	1	0
NCGC00356976-01	0	x	x	x	0	0	x	x	0	1	x	0
NCGC00357175-01	1	0	0	x	1	x	0	1	0	0	1	0
NCGC00357021-01	0	1	x	1	1	1	x	0	0	0	1	0
NCGC00357221-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356972-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357133-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357181-01	x	1	1	0	0	0	0	x	0	0	0	0
NCGC00357056-01	0	x	0	x	x	0	x	x	0	1	1	0
NCGC00356980-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357206-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357250-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00357227-01	x	0	0	0	0	x	0	1	0	0	0	0
NCGC00356997-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356998-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357282-01	0	0	0	1	0	0	0	0	0	0	0	0
NCGC00357029-01	x	0	0	1	x	0	0	0	0	0	1	0
NCGC00356948-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357054-01	0	0	0	0	0	x	0	0	0	0	0	0
NCGC00356956-01	0	0	0	0	0	0	1	0	0	x	0	0
NCGC00356994-01	1	x	0	x	1	1	0	1	x	0	x	0
NCGC00356949-01	x	0	0	0	0	0	0	1	0	0	1	0
NCGC00357234-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00356967-01	x	0	0	x	1	0	0	x	x	x	x	0
NCGC00357111-01	1	x	1	0	x	1	1	1	0	1	1	1
NCGC00357155-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00357098-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357156-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357019-01	0	x	0	x	x	x	0	0	0	x	x	1
NCGC00357095-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357226-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357249-01	1	1	0	x	1	0	0	1	1	0	1	0
NCGC00357017-01	0	x	x	x	x	0	x	x	0	x	x	x
NCGC00357259-01	0	x	x	x	x	0	x	x	0	x	x	x
NCGC00357051-01	1	x	0	x	x	0	1	1	0	1	1	0
NCGC00356954-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357020-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357168-01	0	0	0	0	x	0	0	1	0	0	0	0
NCGC00357283-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357210-01	0	0	0	0	0	0	x	x	x	0	x	0
NCGC00357118-01	0	0	0	x	x	0	x	1	0	x	x	1
NCGC00357144-01	0	0	0	0	0	x	0	1	x	0	0	1
